"label","X1","X2","cluster","clusternorm"
"'88",11.5201708351372,2.28082431221592,82,0.041
"'N",10.061458930359,13.2491341760628,277,0.1385
"'s",13.2711859101951,11.3716429842665,1792,0.896
"-",-14.8808373625999,15.2980155114076,407,0.2035
"--",-4.03837633326615,14.6814333868875,747,0.3735
"---",-3.34089733133018,15.3484879406062,1770,0.885
"----------------",-3.60375837547568,22.8156433854556,393,0.1965
"-------------------------------------------------------------------------------------------------------------------------------------------",-16.2618707941698,16.0644129680646,1639,0.8195
"----------------------------------------------------------------------------------------------------------------------------------------------",-14.4749676309113,15.301729124731,407,0.2035
"---------------------------------------------------------------------------------------------------------------------------------------------------",-13.432645267009,15.4775231356719,407,0.2035
"----------------------------------------------------------------------------------------------------------------------------------------------------------",-14.937897690704,15.965004179937,1909,0.9545
"--------+",1.8716025883564,23.323421004732,674,0.337
"-------+",1.86073731784196,23.3431118719531,674,0.337
"------+",1.86642721794279,23.3307937379747,674,0.337
"-----+",1.86864699524646,23.3390596853009,674,0.337
"----+",1.87521427060225,23.3457733965477,674,0.337
"---+",1.8667739877194,23.3244279838392,674,0.337
"--0",-27.8506645317752,-1.38745634543615,26,0.013
"--a",-4.29400565043447,-1.49798692484586,1384,0.692
"--approved",18.3312765526796,-2.26459165200719,1792,0.896
"--Pesticides",6.5501478670106,8.44445223129778,1084,0.542
"--the",-6.75192989329141,-8.74624572632573,1363,0.6815
"--United",-4.43954150555767,14.6403732947024,1316,0.658
"-0",-27.8129699279541,1.6678996610198,1818,0.909
"-1",-27.6778463949776,1.9592413481443,1818,0.909
"-10",-28.2263075484596,3.29563181593175,1964,0.982
"-11",-28.2157342403119,3.23051442633031,1964,0.982
"-12",-28.1395729150272,3.52133624336029,1964,0.982
"-13",-28.1658726701997,2.99827030579183,1474,0.737
"-14",-28.3988891719532,3.40679448808934,1964,0.982
"-15",-28.1861293204496,3.36271105413576,1964,0.982
"-16",-28.3621583177436,3.33904417784363,1964,0.982
"-17",-28.6164086710359,3.34787398316039,1964,0.982
"-18",-28.2542048151243,3.50167334648502,1964,0.982
"-19",-28.3817929365335,3.34630243732699,1964,0.982
"-2",-27.6922168401976,1.97571317879961,1818,0.909
"-20",-28.0680056944468,3.59402951968537,1964,0.982
"-21",-28.6201041183694,3.44619159630307,1964,0.982
"-22",-28.6202121165279,3.28472650336889,1964,0.982
"-23",-28.2783793606677,3.41948978963801,1964,0.982
"-25",-28.2168810340103,3.53641113009916,937,0.4685
"-26",-28.1385053591691,3.45162863242249,1964,0.982
"-28",-28.4297328151533,3.43285900184728,1964,0.982
"-29",-28.1756441067073,3.51415570724036,1964,0.982
"-3",-27.9696082041388,2.27419984267246,1818,0.909
"-30",-28.1768465048759,3.30993479677715,1964,0.982
"-34",-28.588288846599,3.41591205167379,1964,0.982
"-4",-28.3818854711946,2.8453157137243,1474,0.737
"-5",-27.9162407852767,2.61940560796941,1818,0.909
"-6",-27.8910552250717,2.34436544087423,1818,0.909
"-7",-28.1159787706025,2.75818731884371,1474,0.737
"-70",-26.4963828184082,-11.3400916646122,72,0.036
"-77",-28.2718137346624,3.56305564475586,937,0.4685
"-8",-29.09114761105,2.86894131987207,1474,0.737
"-9",-28.465209541547,2.94843048612278,1964,0.982
"-94",-26.4697395116759,-11.3287063447933,72,0.036
"-approved",18.6774529756322,-1.81029380435242,1078,0.539
"-associated",-7.18509985835097,-4.64897055207175,999,0.4995
"-based",-4.92740407983331,-14.0780495356582,352,0.176
"-containing",-7.40181751397097,-11.5562006410509,537,0.2685
"-control",14.7952543057553,-5.31402229625741,1544,0.772
"-drug",-7.36033161484267,-22.0176231986015,1764,0.882
"-infected",-9.08902903473577,-7.36568737599765,939,0.4695
"-Lackland",13.3788537752743,12.7939157413454,560,0.28
"-like",-7.38967701298556,-9.85457845090304,1643,0.8215
"-negative",-7.24671446346363,-13.2018045088092,1950,0.975
"-Pesticides",6.62898769503341,8.51494534620184,1084,0.542
"-positive",-7.19317320683945,-13.2291087229159,630,0.315
"-prevention",8.18685702602274,-3.59234056174705,276,0.138
"-related",-16.0694747860954,0.286871735251808,921,0.4605
"!",14.1936187517617,2.70361500962045,1270,0.635
"#",30.2205988772817,-0.515188811190437,1597,0.7985
"#1",-13.9745354085027,-2.33944251100586,1899,0.9495
"#50",0.122161471564222,20.717612580847,1302,0.651
"$0",-19.1807405686116,4.7685100139601,1023,0.5115
"$1",-18.8727976985612,5.00573570743186,770,0.385
"$10",-18.6749197226716,5.04748724107663,1334,0.667
"$100",-18.6959725280129,5.12574745173034,1334,0.667
"$1000",-16.6442922737523,4.95566231604717,1334,0.667
"$10000",-18.1627817352059,6.10977028881985,1722,0.861
"$11",-18.8499092920252,5.02231347158269,770,0.385
"$12",-18.8794097429828,5.01028006630905,770,0.385
"$121",-18.5639163355468,4.9678956430913,981,0.4905
"$128",-18.7264253663278,5.02582555560093,981,0.4905
"$13",-18.9346024967766,5.00956215358038,770,0.385
"$14",-18.8145987359045,4.98751695081849,770,0.385
"$140",-17.6364755140523,4.77969802379461,1334,0.667
"$147",-17.7396595360897,6.79984616783485,245,0.1225
"$15",-18.8725599562056,5.0041547555739,770,0.385
"$150",-18.6900742589707,4.98114957568814,981,0.4905
"$15000",-15.2239167748748,6.82290895574766,1722,0.861
"$16",-18.8534588693739,5.06406555369866,770,0.385
"$18",-19.0022029940516,4.9638491156706,770,0.385
